date,regime,rho,target_skewness,fitted_skewness,skewness_error,feasible
2011-01-07,Unconstrained,-0.1256869087452032,-2.122,-2.1219999999999977,2.220446049250313e-15,True
2011-01-10,Unconstrained,-0.12842527465347964,-2.147,-2.1470000000000007,-8.881784197001252e-16,True
2011-01-11,Unconstrained,-0.13692384982187833,-2.2290000000000005,-2.2289999999999983,2.220446049250313e-15,True
2011-01-12,Unconstrained,-0.1330793717580171,-2.194,-2.193999999999999,8.881784197001252e-16,True
2011-01-13,Unconstrained,-0.1263445903836683,-2.1290000000000004,-2.1290000000000022,-1.7763568394002505e-15,True
2011-01-14,Unconstrained,-0.14935699692781249,-2.3519999999999994,-2.3519999999999968,2.6645352591003757e-15,True
2011-01-18,Unconstrained,-0.20020628776190405,-2.816,-2.815999999999997,2.6645352591003757e-15,True
2011-01-19,Unconstrained,-0.1491909509558492,-2.3409999999999997,-2.340999999999979,2.0872192862952943e-14,True
2011-01-20,Unconstrained,-0.18122825919167942,-2.6189999999999998,-2.6189999999995317,4.68070027181966e-13,True
2011-01-21,Unconstrained,-0.28174616521276985,-3.399000000000001,-3.398999998820471,1.1795298071604066e-09,True
2011-01-24,Unconstrained,-0.249522229300873,-3.1860000000000013,-3.1859999999861635,1.3837819778927951e-11,True
2011-01-25,Unconstrained,-0.2859216655653297,-3.461000000000001,-3.4610000000000003,8.881784197001252e-16,True
2011-01-26,Unconstrained,-0.24477595363278384,-3.1759999999999993,-3.175999999523389,4.766103067765926e-10,True
2011-01-27,Unconstrained,-0.22872903173963513,-3.056,-3.055999999999999,8.881784197001252e-16,True
2011-01-28,Unconstrained,-0.21101540900297103,-2.822999999999999,-2.822999999999864,1.3500311979441904e-13,True
2011-01-31,Unconstrained,-0.2362133797725147,-3.030000000000001,-3.0300000000000025,-1.3322676295501878e-15,True
2011-02-01,Unconstrained,-0.213746253513958,-2.9,-2.899999999999984,1.5987211554602254e-14,True
2011-02-02,Unconstrained,-0.19543371442288313,-2.752,-2.751999999999921,7.860379014346108e-14,True
2011-02-03,Unconstrained,-0.18986205600751146,-2.7129999999999996,-2.7129999999999588,4.085620730620576e-14,True
