year,n,mean_index_iv,mean_skew_index,mean_risk_neutral_skewness,median_risk_neutral_skewness,calendar_violations
2011,248,0.24313064516129032,122.42927125506073,-2.242927125506073,-2.2349999999999994,0
2012,250,0.1779888,120.83427999999999,-2.083428,-2.0170000000000003,0
2013,252,0.14230119047619047,122.39547619047619,-2.239547619047619,-2.0755000000000003,0
2014,252,0.14175992063492063,129.8097222222222,-2.9809722222222224,-2.8985,0
2015,252,0.16674126984126983,127.57503968253968,-2.7575039682539684,-2.5940000000000003,0
2016,252,0.1582563492063492,127.6020238095238,-2.760202380952381,-2.6379999999999995,0
2017,251,0.11090239043824701,134.7224,-3.4722399999999998,-3.4284999999999997,0
2018,251,0.166398406374502,132.64804,-3.2648040000000003,-3.1935000000000002,0
2019,252,0.15387857142857142,122.84219123505976,-2.284219123505976,-2.3180000000000005,0
2020,253,0.29251304347826085,131.57328063241107,-3.1573280632411067,-3.128999999999999,0
2021,252,0.19656150793650795,145.99440476190475,-4.599440476190476,-4.4765,0
2022,251,0.2562390438247012,124.84183266932273,-2.4841832669322708,-2.2290000000000005,0
2023,250,0.1687004,134.72376,-3.472376,-3.5649999999999995,0
2024,252,0.15607579365079366,149.13318725099603,-4.913318725099601,-4.812,0
2025,250,0.1896112,147.5046,-4.75046,-4.684000000000001,0
2026,123,0.19395121951219513,143.64536585365855,-4.364536585365855,-4.266,0
